Gender,Age,Daily Meal Frequency,Physical Exercise,Height,Weight,BMR,Carbs,Proteins,Fats,Calories
1,21,2,0,163,92,1672.75,250.912,100.365,66.91,2007.298
0,44,3,0,157,55,1316.25,197.438,78.975,52.65,1579.502
1,22,4,0,157,58,1290.25,193.538,77.415,51.61,1548.302
1,35,3,0,160,80,1464,219.6,87.84,58.56,1756.8
1,24,3,0,168,103,1799,269.85,107.94,71.96,2158.8
1,40,3,0,142,82,1346.5,201.975,80.79,53.86,1615.8
1,21,4,0,142,80,1421.5,213.225,85.29,56.86,1705.8
1,22,2,0,157,48,1190.25,178.538,71.415,47.61,1428.302
1,22,2,0,155,45,1147.75,172.162,68.865,45.91,1377.298
1,23,3,1,168,65,1424,244.75,97.9,65.267,1958.003
1,21,4,1,157,50,1215.25,208.871,83.548,55.699,1670.967
0,23,4,4,170,77,1722.5,409.094,163.638,109.092,3272.756
0,23,4,1,168,85,1790,307.656,123.062,82.042,2461.25
0,21,3,3,170,60,1562.5,336.914,134.766,89.844,2695.316
1,20,3,0,160,65,1389,208.35,83.34,55.56,1666.8
0,22,3,0,165,40,1326.25,198.938,79.575,53.05,1591.502
0,30,4,0,165,103,1916.25,287.438,114.975,76.65,2299.502
1,20,3,0,165,46,1230.25,184.538,73.815,49.21,1476.302
1,30,3,0,152,99,1629,244.35,97.74,65.16,1954.8
0,36,3,0,168,51,1385,207.75,83.1,55.4,1662
0,23,2,0,160,41,1300,195,78,52,1560
0,19,3,0,155,99,1868.75,280.312,112.125,74.75,2242.498
0,25,3,0,157,113,1991.25,298.688,119.475,79.65,2389.502
0,22,4,0,175,81,1798.75,269.812,107.925,71.95,2158.498
0,41,3,0,163,101,1828.75,274.312,109.725,73.15,2194.498
0,32,3,0,168,117,2065,309.75,123.9,82.6,2478
0,21,3,0,168,55,1500,225,90,60,1800
1,36,3,0,160,44,1099,164.85,65.94,43.96,1318.8
0,19,2,0,160,44,1350,202.5,81,54,1620
0,32,4,0,173,106,1986.25,297.938,119.175,79.45,2383.502
1,18,3,0,145,69,1345.25,201.788,80.715,53.81,1614.302
1,19,2,1,157,54,1265.25,217.465,86.986,57.991,1739.723
0,18,2,1,163,71,1643.75,282.52,113.008,75.339,2260.163
0,23,3,0,165,53,1451.25,217.688,87.075,58.05,1741.502
1,21,4,0,160,97,1704,255.6,102.24,68.16,2044.8
1,22,4,0,140,72,1324,198.6,79.44,52.96,1588.8
1,31,2,0,157,78,1445.25,216.788,86.715,57.81,1734.302
1,20,3,3,160,38,1119,241.284,96.514,64.342,1930.27
0,23,3,0,168,105,1990,298.5,119.4,79.6,2388
1,22,4,0,163,55,1297.75,194.662,77.865,51.91,1557.298
0,21,3,4,168,58,1530,363.375,145.35,96.9,2907
0,16,3,2,173,58,1586.25,307.336,122.934,81.956,2458.684
0,25,2,0,178,100,1992.5,298.875,119.55,79.7,2391
1,37,3,0,145,97,1530.25,229.538,91.815,61.21,1836.302
0,22,3,1,165,63,1556.25,267.48,106.992,71.328,2139.84
1,25,3,0,160,45,1164,174.6,69.84,46.56,1396.8
1,35,3,0,163,80,1482.75,222.412,88.965,59.31,1779.298
1,30,3,0,142,100,1576.5,236.475,94.59,63.06,1891.8
0,28,3,0,173,54,1486.25,222.938,89.175,59.45,1783.502
1,20,2,0,145,72,1365.25,204.788,81.915,54.61,1638.302
1,58,2,0,142,70,1136.5,170.475,68.19,45.46,1363.8
1,21,2,0,168,67,1454,218.1,87.24,58.16,1744.8
1,22,3,0,155,50,1197.75,179.662,71.865,47.91,1437.298
1,21,2,0,165,85,1615.25,242.288,96.915,64.61,1938.302
0,20,3,0,170,50,1467.5,220.125,88.05,58.7,1761
1,26,2,2,155,72,1397.75,270.814,108.326,72.217,2166.513
0,37,2,1,163,68,1518.75,261.035,104.414,69.609,2088.277
1,41,3,0,157,107,1685.25,252.788,101.115,67.41,2022.302
1,46,3,1,160,47,1079,185.453,74.181,49.454,1483.622
1,35,3,0,140,100,1539,230.85,92.34,61.56,1846.8
1,25,3,0,160,85,1564,234.6,93.84,62.56,1876.8
0,25,3,1,178,97,1962.5,337.305,134.922,89.948,2698.44
0,22,3,0,165,45,1376.25,206.438,82.575,55.05,1651.502
0,26,3,0,173,52,1476.25,221.438,88.575,59.05,1771.502
0,24,2,4,160,70,1585,376.438,150.575,100.383,3011.499
1,18,3,0,165,50,1280.25,192.038,76.815,51.21,1536.302
1,18,2,0,168,55,1349,202.35,80.94,53.96,1618.8
0,23,3,0,173,91,1881.25,282.188,112.875,75.25,2257.502
1,26,3,0,157,99,1680.25,252.038,100.815,67.21,2016.302
1,40,3,0,160,40,1039,155.85,62.34,41.56,1246.8
1,25,2,3,152,64,1304,281.175,112.47,74.98,2249.4
0,35,4,0,168,109,1970,295.5,118.2,78.8,2364
0,22,2,0,170,61,1567.5,235.125,94.05,62.7,1881
1,22,4,0,170,90,1691.5,253.725,101.49,67.66,2029.8
0,34,3,0,163,112,1973.75,296.062,118.425,78.95,2368.498
0,25,4,0,178,90,1892.5,283.875,113.55,75.7,2271
0,25,2,0,170,78,1722.5,258.375,103.35,68.9,2067
1,25,2,0,157,48,1175.25,176.288,70.515,47.01,1410.302
0,24,4,1,170,70,1647.5,283.164,113.266,75.51,2265.31
1,41,4,0,155,88,1482.75,222.412,88.965,59.31,1779.298
1,39,2,0,155,76,1372.75,205.912,82.365,54.91,1647.298
0,18,3,0,152,93,1795,269.25,107.7,71.8,2154
0,23,4,4,173,86,1831.25,434.922,173.969,115.979,3479.375
1,23,3,0,163,67,1412.75,211.912,84.765,56.51,1695.298
0,26,2,0,165,89,1796.25,269.438,107.775,71.85,2155.502
0,17,2,0,163,95,1888.75,283.312,113.325,75.55,2266.498
0,22,3,0,168,113,2075,311.25,124.5,83,2490
0,25,2,0,163,44,1338.75,200.812,80.325,53.55,1606.498
0,26,3,1,170,88,1817.5,312.383,124.953,83.302,2499.062
1,22,3,0,140,48,1084,162.6,65.04,43.36,1300.8
1,25,2,0,157,75,1445.25,216.788,86.715,57.81,1734.302
1,20,3,0,157,76,1480.25,222.038,88.815,59.21,1776.302
0,22,3,0,157,115,2026.25,303.938,121.575,81.05,2431.502
0,23,3,3,178,92,1922.5,414.539,165.816,110.544,3316.316
1,32,3,0,163,46,1157.75,173.662,69.465,46.31,1389.298
0,21,3,3,173,60,1581.25,340.957,136.383,90.922,2727.658
0,25,3,0,165,46,1371.25,205.688,82.275,54.85,1645.502
0,25,3,0,170,52,1462.5,219.375,87.75,58.5,1755
0,23,4,1,170,72,1672.5,287.461,114.984,76.656,2299.684
1,23,2,0,160,67,1394,209.1,83.64,55.76,1672.8
0,23,2,1,170,71,1662.5,285.742,114.297,76.198,2285.938
0,23,3,0,173,54,1511.25,226.688,90.675,60.45,1813.502
0,22,3,0,170,65,1607.5,241.125,96.45,64.3,1929
0,25,3,0,170,46,1402.5,210.375,84.15,56.1,1683
0,25,3,0,165,42,1331.25,199.688,79.875,53.25,1597.502
1,23,4,0,152,80,1474,221.1,88.44,58.96,1768.8
0,18,2,0,168,73,1695,254.25,101.7,67.8,2034
0,21,3,0,165,46,1391.25,208.688,83.475,55.65,1669.502
0,18,3,0,168,55,1515,227.25,90.9,60.6,1818
0,22,3,2,173,56,1536.25,297.648,119.059,79.373,2381.185
0,25,3,0,160,116,2040,306,122.4,81.6,2448
0,24,2,0,180,74,1750,262.5,105,70,2100
1,22,2,0,160,75,1479,221.85,88.74,59.16,1774.8
0,22,3,0,168,50,1445,216.75,86.7,57.8,1734
0,32,3,4,165,77,1646.25,390.984,156.394,104.262,3127.87
0,22,2,4,170,72,1677.5,398.406,159.362,106.242,3187.25
0,30,3,0,163,98,1853.75,278.062,111.225,74.15,2224.498
1,20,4,0,165,80,1570.25,235.538,94.215,62.81,1884.302
1,59,2,0,145,72,1170.25,175.538,70.215,46.81,1404.302
0,17,3,0,188,55,1645,246.75,98.7,65.8,1974
1,26,3,0,145,87,1485.25,222.788,89.115,59.41,1782.302
1,44,3,0,157,85,1450.25,217.538,87.015,58.01,1740.302
1,40,3,1,152,80,1389,238.734,95.494,63.662,1909.87
0,19,3,0,170,65,1622.5,243.375,97.35,64.9,1947
1,28,2,0,137,55,1105.25,165.788,66.315,44.21,1326.302
0,24,3,0,163,117,2073.75,311.062,124.425,82.95,2488.498
1,27,3,0,165,49,1225.25,183.788,73.515,49.01,1470.302
1,22,3,3,160,79,1519,327.534,131.014,87.342,2620.27
1,24,4,0,147,59,1227.75,184.162,73.665,49.11,1473.298
1,21,3,0,163,45,1202.75,180.412,72.165,48.11,1443.298
0,20,2,4,185,88,1941.25,461.047,184.419,122.946,3688.378
0,23,2,0,165,69,1611.25,241.688,96.675,64.45,1933.502
1,22,2,0,173,50,1310.25,196.538,78.615,52.41,1572.302
0,24,3,0,173,113,2096.25,314.438,125.775,83.85,2515.502
0,24,3,0,163,49,1393.75,209.062,83.625,55.75,1672.498
1,34,2,0,152,66,1279,191.85,76.74,51.16,1534.8
0,23,3,0,157,120,2071.25,310.688,124.275,82.85,2485.502
0,22,3,0,178,80,1807.5,271.125,108.45,72.3,2169
1,21,2,0,152,50,1184,177.6,71.04,47.36,1420.8
0,36,3,0,168,110,1975,296.25,118.5,79,2370
0,22,2,0,175,72,1708.75,256.312,102.525,68.35,2050.498
1,33,2,0,145,56,1140.25,171.038,68.415,45.61,1368.302
0,23,2,0,170,78,1732.5,259.875,103.95,69.3,2079
0,21,3,0,170,50,1462.5,219.375,87.75,58.5,1755
0,34,3,0,163,48,1333.75,200.062,80.025,53.35,1600.498
1,23,3,0,152,58,1254,188.1,75.24,50.16,1504.8
0,27,3,0,173,104,1991.25,298.688,119.475,79.65,2389.502
0,51,4,0,152,85,1550,232.5,93,62,1860
0,23,4,0,178,62,1622.5,243.375,97.35,64.9,1947
0,23,3,0,165,113,2051.25,307.688,123.075,82.05,2461.502
1,33,2,0,145,73,1310.25,196.538,78.615,52.41,1572.302
0,23,2,0,163,72,1628.75,244.312,97.725,65.15,1954.498
0,24,2,1,170,99,1937.5,333.008,133.203,88.802,2664.062
1,27,3,0,160,47,1174,176.1,70.44,46.96,1408.8
0,23,3,0,165,44,1361.25,204.188,81.675,54.45,1633.502
1,21,3,2,157,70,1415.25,274.205,109.682,73.121,2193.637
0,45,3,0,175,45,1323.75,198.562,79.425,52.95,1588.498
0,33,3,0,168,73,1620,243,97.2,64.8,1944
1,15,2,3,168,65,1464,315.675,126.27,84.18,2525.4
1,27,3,0,145,90,1510.25,226.538,90.615,60.41,1812.302
0,23,2,2,170,85,1802.5,349.234,139.694,93.129,2793.873
0,24,2,0,163,40,1303.75,195.562,78.225,52.15,1564.498
1,31,2,0,165,110,1815.25,272.287,108.915,72.61,2178.298
0,23,2,0,173,100,1971.25,295.688,118.275,78.85,2365.502
0,24,3,2,170,70,1647.5,319.203,127.681,85.121,2553.625
1,54,4,0,157,88,1430.25,214.538,85.815,57.21,1716.302
0,24,3,0,178,90,1897.5,284.625,113.85,75.9,2277
1,28,2,1,152,52,1169,200.922,80.369,53.579,1607.375
0,38,3,0,168,118,2045,306.75,122.7,81.8,2454
1,25,2,1,145,61,1230.25,211.449,84.58,56.386,1691.59
1,58,2,0,157,77,1300.25,195.038,78.015,52.01,1560.302
1,21,3,4,157,54,1255.25,298.122,119.249,79.499,2384.975
0,23,3,0,178,69,1692.5,253.875,101.55,67.7,2031
0,35,3,0,173,110,2011.25,301.688,120.675,80.45,2413.502
0,23,3,0,168,58,1520,228,91.2,60.8,1824
0,26,3,0,157,114,1996.25,299.438,119.775,79.85,2395.502
0,24,3,0,175,80,1778.75,266.812,106.725,71.15,2134.498
0,25,3,0,168,49,1420,213,85.2,56.8,1704
1,37,2,0,157,80,1435.25,215.288,86.115,57.41,1722.302
1,50,2,0,152,65,1189,178.35,71.34,47.56,1426.8
0,25,3,0,185,78,1816.25,272.438,108.975,72.65,2179.502
1,29,3,0,145,97,1570.25,235.538,94.215,62.81,1884.302
0,24,2,0,170,88,1827.5,274.125,109.65,73.1,2193
1,20,2,1,155,53,1237.75,212.738,85.095,56.73,1701.902
0,21,3,0,175,62,1613.75,242.062,96.825,64.55,1936.498
0,33,3,0,173,52,1441.25,216.188,86.475,57.65,1729.502
0,22,2,2,170,82,1777.5,344.391,137.756,91.838,2755.13
0,18,3,2,188,70,1790,346.812,138.725,92.483,2774.495
1,49,3,0,140,72,1189,178.35,71.34,47.56,1426.8
0,21,3,0,175,56,1553.75,233.062,93.225,62.15,1864.498
1,54,2,0,140,57,1014,152.1,60.84,40.56,1216.8
1,24,2,0,170,55,1331.5,199.725,79.89,53.26,1597.8
0,26,3,0,157,95,1806.25,270.938,108.375,72.25,2167.502
0,28,2,1,170,98,1907.5,327.852,131.141,87.427,2622.815
1,21,2,1,175,84,1667.75,286.645,114.658,76.439,2293.163
0,30,2,0,180,91,1890,283.5,113.4,75.6,2268
0,29,4,0,168,102,1930,289.5,115.8,77.2,2316
1,41,4,0,145,78,1320.25,198.038,79.215,52.81,1584.302
0,23,3,2,168,78,1720,333.25,133.3,88.867,2666.003
1,40,3,0,142,78,1306.5,195.975,78.39,52.26,1567.8
1,42,3,0,152,99,1569,235.35,94.14,62.76,1882.8
0,23,3,4,175,69,1673.75,397.516,159.006,106.004,3180.124
1,30,4,0,163,95,1657.75,248.662,99.465,66.31,1989.298
0,28,4,0,163,94,1823.75,273.562,109.425,72.95,2188.498
0,23,2,0,163,85,1758.75,263.812,105.525,70.35,2110.498
0,22,3,0,168,61,1555,233.25,93.3,62.2,1866
1,27,2,1,152,64,1294,222.406,88.962,59.308,1779.244
0,22,4,4,183,68,1718.75,408.203,163.281,108.854,3265.622
1,21,2,0,155,47,1172.75,175.912,70.365,46.91,1407.298
1,20,4,2,178,70,1551.5,300.603,120.241,80.161,2404.825
0,26,3,1,173,77,1726.25,296.699,118.68,79.12,2373.596
1,25,3,0,152,70,1364,204.6,81.84,54.56,1636.8
0,25,3,0,163,50,1398.75,209.812,83.925,55.95,1678.498
1,46,3,0,145,103,1545.25,231.788,92.715,61.81,1854.302
1,22,3,0,163,45,1197.75,179.662,71.865,47.91,1437.298
0,22,3,0,170,50,1457.5,218.625,87.45,58.3,1749
1,34,2,0,152,78,1399,209.85,83.94,55.96,1678.8
1,23,2,0,147,56,1202.75,180.412,72.165,48.11,1443.298
0,25,3,0,163,96,1858.75,278.812,111.525,74.35,2230.498
1,22,3,1,152,55,1229,211.234,84.494,56.329,1689.873
0,19,3,0,173,80,1791.25,268.688,107.475,71.65,2149.502
0,22,3,0,183,85,1888.75,283.312,113.325,75.55,2266.498
0,23,3,0,175,65,1633.75,245.062,98.025,65.35,1960.498
0,19,3,1,185,100,2066.25,355.137,142.055,94.703,2841.095
1,22,4,3,165,65,1410.25,304.085,121.634,81.089,2432.677
0,21,4,4,178,64,1652.5,392.469,156.988,104.658,3139.75
0,23,3,0,163,92,1828.75,274.312,109.725,73.15,2194.498
0,28,4,0,160,90,1765,264.75,105.9,70.6,2118
1,22,3,1,163,56,1307.75,224.77,89.908,59.939,1798.163
0,23,3,0,183,90,1933.75,290.062,116.025,77.35,2320.498
1,25,4,0,140,72,1309,196.35,78.54,52.36,1570.8
1,19,3,1,160,56,1304,224.125,89.65,59.767,1793.003
1,50,3,0,152,82,1359,203.85,81.54,54.36,1630.8
0,20,3,1,173,64,1626.25,279.512,111.805,74.536,2236.092
0,32,3,0,165,50,1376.25,206.438,82.575,55.05,1651.502
1,35,2,0,165,58,1275.25,191.288,76.515,51.01,1530.302
1,48,4,0,142,74,1226.5,183.975,73.59,49.06,1471.8
1,21,3,0,163,60,1352.75,202.912,81.165,54.11,1623.298
1,25,3,0,142,95,1551.5,232.725,93.09,62.06,1861.8
1,20,3,1,160,60,1339,230.141,92.056,61.371,1841.127
0,23,3,0,170,52,1472.5,220.875,88.35,58.9,1767
1,20,2,0,168,65,1439,215.85,86.34,57.56,1726.8
0,24,2,0,165,49,1406.25,210.938,84.375,56.25,1687.502
0,30,3,1,173,94,1876.25,322.48,128.992,85.995,2579.843
1,48,3,0,140,73,1204,180.6,72.24,48.16,1444.8
0,22,2,0,173,65,1626.25,243.938,97.575,65.05,1951.502
0,23,2,0,173,69,1661.25,249.188,99.675,66.45,1993.502
0,22,3,0,160,119,2085,312.75,125.1,83.4,2502
1,22,3,2,155,56,1257.75,243.689,97.476,64.984,1949.516
0,19,2,3,183,72,1773.75,382.465,152.986,101.991,3059.723
1,25,4,0,160,58,1294,194.1,77.64,51.76,1552.8
0,25,3,0,175,106,2033.75,305.062,122.025,81.35,2440.498
0,23,3,0,178,64,1642.5,246.375,98.55,65.7,1971
1,27,3,1,135,62,1167.75,200.707,80.283,53.522,1605.658
0,26,2,0,168,88,1805,270.75,108.3,72.2,2166
1,22,3,4,163,54,1287.75,305.841,122.336,81.557,2446.721
1,25,4,0,160,94,1654,248.1,99.24,66.16,1984.8
0,26,3,0,170,109,2027.5,304.125,121.65,81.1,2433
0,26,2,0,173,92,1876.25,281.438,112.575,75.05,2251.502
1,27,4,0,163,70,1422.75,213.412,85.365,56.91,1707.298
0,23,3,4,173,72,1691.25,401.672,160.669,107.112,3213.372
0,21,4,4,168,68,1630,387.125,154.85,103.233,3096.997
0,42,3,0,168,110,1945,291.75,116.7,77.8,2334
0,23,4,0,178,70,1702.5,255.375,102.15,68.1,2043
1,26,4,0,180,72,1554,233.1,93.24,62.16,1864.8
0,21,3,0,168,75,1700,255,102,68,2040
0,20,2,0,170,70,1667.5,250.125,100.05,66.7,2001
0,20,3,0,173,50,1486.25,222.938,89.175,59.45,1783.502
0,27,3,0,173,82,1771.25,265.688,106.275,70.85,2125.502
0,22,3,0,173,74,1716.25,257.438,102.975,68.65,2059.502
1,26,3,0,155,86,1537.75,230.662,92.265,61.51,1845.298
0,24,4,0,168,77,1705,255.75,102.3,68.2,2046
0,24,2,4,178,85,1847.5,438.781,175.513,117.008,3510.248
0,28,3,0,168,50,1415,212.25,84.9,56.6,1698
0,28,4,1,183,112,2128.75,365.879,146.352,97.568,2927.036
0,62,3,4,165,57,1296.25,307.859,123.144,82.096,2462.876
0,35,4,0,155,87,1668.75,250.312,100.125,66.75,2002.498
1,25,3,0,163,48,1212.75,181.912,72.765,48.51,1455.298
1,21,3,0,157,51,1225.25,183.788,73.515,49.01,1470.302
1,16,3,2,157,45,1190.25,230.611,92.244,61.496,1844.884
1,33,3,0,157,41,1065.25,159.788,63.915,42.61,1278.302
0,23,2,0,157,45,1321.25,198.188,79.275,52.85,1585.502
1,20,3,0,157,46,1180.25,177.038,70.815,47.21,1416.302
1,23,3,1,160,49,1214,208.656,83.462,55.642,1669.25
0,25,4,0,168,102,1950,292.5,117,78,2340
1,24,2,0,147,46,1097.75,164.662,65.865,43.91,1317.298
0,24,2,2,173,75,1716.25,332.523,133.009,88.673,2660.185
0,23,3,0,173,60,1571.25,235.688,94.275,62.85,1885.502
1,20,3,0,163,54,1297.75,194.662,77.865,51.91,1557.298
0,22,3,0,170,76,1717.5,257.625,103.05,68.7,2061
1,19,4,0,168,41,1204,180.6,72.24,48.16,1444.8
1,20,3,2,163,81,1567.75,303.752,121.501,81,2430.012
0,22,3,0,175,60,1588.75,238.312,95.325,63.55,1906.498
1,21,3,0,155,57,1272.75,190.912,76.365,50.91,1527.298
0,25,4,3,185,87,1906.25,411.035,164.414,109.609,3288.277
1,50,3,0,145,104,1535.25,230.288,92.115,61.41,1842.302
0,20,3,0,180,75,1780,267,106.8,71.2,2136
1,46,2,0,157,45,1040.25,156.038,62.415,41.61,1248.302
1,18,4,0,140,72,1344,201.6,80.64,53.76,1612.8
0,21,2,1,173,68,1661.25,285.527,114.211,76.141,2284.221
0,23,3,0,178,72,1722.5,258.375,103.35,68.9,2067
0,23,3,0,180,63,1645,246.75,98.7,65.8,1974
0,25,2,0,155,41,1258.75,188.812,75.525,50.35,1510.498
1,22,2,0,170,82,1611.5,241.725,96.69,64.46,1933.8
0,42,3,0,155,85,1613.75,242.062,96.825,64.55,1936.498
0,23,2,4,175,65,1633.75,388.016,155.206,103.471,3104.127
0,22,3,0,185,75,1801.25,270.188,108.075,72.05,2161.502
1,27,4,0,152,83,1484,222.6,89.04,59.36,1780.8
0,22,3,0,165,52,1446.25,216.938,86.775,57.85,1735.502
0,21,3,0,170,85,1812.5,271.875,108.75,72.5,2175
1,20,4,2,165,76,1530.25,296.486,118.594,79.063,2371.887
1,22,2,0,163,55,1297.75,194.662,77.865,51.91,1557.298
0,43,4,0,163,94,1748.75,262.312,104.925,69.95,2098.498
0,25,4,3,178,70,1692.5,364.945,145.978,97.319,2919.563
0,25,3,0,173,55,1511.25,226.688,90.675,60.45,1813.502
1,41,4,0,145,76,1300.25,195.038,78.015,52.01,1560.302
1,28,2,0,142,53,1116.5,167.475,66.99,44.66,1339.8
0,29,3,1,170,93,1852.5,318.398,127.359,84.906,2547.182
0,23,3,0,157,110,1971.25,295.688,118.275,78.85,2365.502
1,22,3,0,147,38,1027.75,154.162,61.665,41.11,1233.298
1,25,4,0,157,88,1575.25,236.288,94.515,63.01,1890.302
1,25,4,0,160,90,1614,242.1,96.84,64.56,1936.8
0,21,3,0,168,74,1690,253.5,101.4,67.6,2028
1,30,3,0,163,46,1167.75,175.162,70.065,46.71,1401.298
0,20,2,0,160,47,1375,206.25,82.5,55,1650
0,25,2,0,170,65,1592.5,238.875,95.55,63.7,1911
0,24,2,0,168,88,1815,272.25,108.9,72.6,2178
0,24,3,0,157,102,1886.25,282.938,113.175,75.45,2263.502
1,22,4,0,157,62,1330.25,199.538,79.815,53.21,1596.302
0,29,3,1,165,93,1821.25,313.027,125.211,83.474,2504.218
0,24,3,1,175,71,1688.75,290.254,116.102,77.401,2322.033
0,30,3,0,165,86,1746.25,261.938,104.775,69.85,2095.502
1,19,2,0,145,70,1350.25,202.538,81.015,54.01,1620.302
0,29,2,0,170,95,1872.5,280.875,112.35,74.9,2247
1,30,3,0,140,85,1414,212.1,84.84,56.56,1696.8
0,22,3,2,175,69,1678.75,325.258,130.103,86.735,2602.059
0,22,2,0,168,95,1895,284.25,113.7,75.8,2274
1,61,4,0,155,61,1112.75,166.912,66.765,44.51,1335.298
0,34,3,0,160,107,1905,285.75,114.3,76.2,2286
1,21,2,0,152,63,1314,197.1,78.84,52.56,1576.8
0,20,4,0,183,81,1858.75,278.812,111.525,74.35,2230.498
0,23,2,0,165,76,1681.25,252.188,100.875,67.25,2017.502
0,23,3,1,175,73,1713.75,294.551,117.82,78.547,2356.407
0,23,2,1,168,55,1490,256.094,102.438,68.292,2048.756
0,22,3,0,168,40,1345,201.75,80.7,53.8,1614
0,21,2,0,160,64,1540,231,92.4,61.6,1848
1,32,3,0,140,89,1444,216.6,86.64,57.76,1732.8
0,23,3,0,168,60,1540,231,92.4,61.6,1848
1,24,3,0,152,73,1399,209.85,83.94,55.96,1678.8
1,28,2,0,168,62,1369,205.35,82.14,54.76,1642.8
0,23,2,0,163,130,2208.75,331.312,132.525,88.35,2650.498
0,23,4,0,180,62,1635,245.25,98.1,65.4,1962
0,20,2,0,178,65,1667.5,250.125,100.05,66.7,2001
0,43,3,0,155,88,1638.75,245.812,98.325,65.55,1966.498
0,26,3,0,168,107,1995,299.25,119.7,79.8,2394
0,23,4,0,165,65,1571.25,235.688,94.275,62.85,1885.502
0,27,2,0,160,70,1570,235.5,94.2,62.8,1884
0,23,4,0,178,72,1722.5,258.375,103.35,68.9,2067
0,23,3,0,160,104,1930,289.5,115.8,77.2,2316
0,26,3,2,183,74,1758.75,340.758,136.303,90.869,2726.065
0,28,3,0,175,127,2228.75,334.312,133.725,89.15,2674.498
1,60,2,0,152,80,1289,193.35,77.34,51.56,1546.8
0,25,4,0,175,109,2063.75,309.562,123.825,82.55,2476.498
0,29,3,0,168,52,1430,214.5,85.8,57.2,1716
0,33,4,0,157,87,1691.25,253.688,101.475,67.65,2029.502
0,23,3,0,165,110,2021.25,303.188,121.275,80.85,2425.502
0,22,3,0,168,52,1465,219.75,87.9,58.6,1758
1,38,3,0,140,82,1344,201.6,80.64,53.76,1612.8
0,23,3,4,170,74,1692.5,401.969,160.788,107.192,3215.756
0,24,3,0,183,78,1808.75,271.312,108.525,72.35,2170.498
1,19,3,0,163,85,1612.75,241.912,96.765,64.51,1935.298
0,34,4,0,170,84,1737.5,260.625,104.25,69.5,2085
